id,geoname_id,extra,alternate_name,extra1,extra2,extra3,extra4,extra5,extra6
2756782,4381072,post,63005,,,,,,
2756783,4381072,post,63006,,,,,,
2757098,4380997,post,63834,,,,,,
2996909,4380997,link,https://en.wikipedia.org/wiki/Charleston%2C_Missouri,,,,,,
3044442,4380997,ru,Чарлстон,,,,,,
13804820,4380997,unlc,USCXS,,,,,,
15729313,4380997,wkdt,Q953943,,,,,,
2756791,4381072,post,63017,,,,,,
9458735,4381072,ar,تشيسترفيلد,,,,,,
9458736,4381072,fa,چسترفیلد، میزوری,,,,,,
9458737,4381072,kk,Чэстерфилд,,,,,,
9458738,4381072,sr,Честерфилд,,,,,,
11385685,4381072,ur,چیسٹرفیلڈ، مسوری,,,,,,
12615859,4381072,,Drews Station,,,,,,
12871145,4381072,en,Chesterfield,1,,,,,
13804213,4381072,unlc,USCFE,,,,,,
2757370,4381104,post,64601,,,,,,
12398099,4381104,,Chillcothe,,,,,,
13061358,4381104,en,Chillicothe,1,,,,,
13817670,4381104,unlc,USUFC,,,,,,
14989213,4381104,wkdt,Q959568,,,,,,
2757436,4381643,post,64735,,,,,,
2996929,4381478,link,https://en.wikipedia.org/wiki/Clayton%2C_Missouri,,,,,,
9358943,4381478,ar,كلايتون,,,,,,
9358944,4381478,fa,کلیتون، میزوری,,,,,,
9358946,4381478,kk,Клэйтон,,,,,,
9358947,4381478,sr,Клејтон,,,,,,
11375752,4381478,ur,کلیٹن، مسوری,,,,,,
15738876,4381478,wkdt,Q966922,,,,,,
16432846,4381478,de,Clayton (Missouri),,,,,,
2996939,4381643,link,https://en.wikipedia.org/wiki/Clinton%2C_Missouri,,,,,,
3044445,4381643,ru,Клинтон,,,,,,
11475023,4381643,ar,كلينتون,,,,,,
11475024,4381643,kk,Клинтон,,,,,,
11475025,4381643,sr,Клинтон,,,,,,
11475026,4381643,ur,کلنٹن، مسوری,,,,,,
13804092,4381643,unlc,USCBT,,,,,,
14977349,4381643,wkdt,Q655006,,,,,,
3044446,4381982,ru,Колумбия,,,,,,
7481460,4381982,iata,COU,,,,,,
8208933,4381982,ko,컬럼비아,,,,,,
8208934,4381982,fa,کلمبیا، میزوری,,,,,,
8208935,4381982,kk,Колумбиа,,,,,,
8208936,4381982,ar,كولومبيا,,,,,,
8208937,4381982,zh,哥倫比亞,,,,,,
8706281,4381982,sr,Коламбија,,,,,,
11330152,4381982,lrc,کلمبیا، میزوری,,,,,,
11330153,4381982,uk,Коламбія,,,,,,
11330154,4381982,ur,کولمبیا، مسوری,,,,,,
13804524,4381982,unlc,USCOU,,,,,,
14865681,4381982,wkdt,Q59670,,,,,,
16241546,4381982,link,"https://en.wikipedia.org/wiki/Columbia,_Missouri",,,,,,
1926822,4381982,en,Columbia,,,,,,
1926823,4381982,es,Columbia,,,,,,
1926824,4381982,fi,Columbia,,,,,,
1926825,4381982,io,Columbia,,,,,,
1926826,4381982,ja,コロンビア,,,,,,
1926827,4381982,sk,Columbia,,,,,,
1926828,4381982,sv,Columbia,,,,,,
2757584,4381982,post,65201,,,,,,
2757585,4381982,post,65202,,,,,,
2757586,4381982,post,65203,,,,,,
2757587,4381982,post,65205,,,,,,
2757588,4381982,post,65211,,,,,,
2757589,4381982,post,65212,,,,,,
2757590,4381982,post,65215,,,,,,
2757591,4381982,post,65216,,,,,,
2757592,4381982,post,65217,,,,,,
2757593,4381982,post,65218,,,,,,
2996950,4382072,link,https://en.wikipedia.org/wiki/Concord%2C_Missouri,,,,,,
2996971,4382833,link,https://en.wikipedia.org/wiki/Crestwood%2C_Missouri,,,,,,
11636281,4382833,sr,Крествуд,,,,,,
11636282,4382833,ur,کریسٹووڈ، مسوری,,,,,,
13804773,4382833,unlc,USCW9,,,,,,
15843439,4382833,wkdt,Q962016,,,,,,
2996972,4382837,link,https://en.wikipedia.org/wiki/Creve_Coeur%2C_Missouri,,,,,,
11384331,4382837,ar,كريف كوير,,,,,,
11384332,4382837,fa,کرو کور، میزوری,,,,,,
11384333,4382837,kk,Крив Коеур,,,,,,
11384334,4382837,sr,Крив Коур,,,,,,
11384335,4382837,ur,کریو کویر، مسوری,,,,,,
13803959,4382837,unlc,USC4Q,,,,,,
11636278,4382833,ar,كريستوود,,,,,,
11636279,4382833,fa,کرست‌وود، میزوری,,,,,,
11636280,4382833,kk,Крэствуд,,,,,,
2997000,4383713,link,https://en.wikipedia.org/wiki/Dellwood%2C_Missouri,,,,,,
2996987,4383306,link,https://en.wikipedia.org/wiki/Dardenne_Prairie%2C_Missouri,,,,,,
2756793,4383513,post,63020,,,,,,
2996993,4383513,link,https://en.wikipedia.org/wiki/De_Soto%2C_Missouri,,,,,,
11628972,4383513,ar,دي سوتو,,,,,,
11628973,4383513,kk,Дэ Сото,,,,,,
11628974,4383513,sr,Де Сото,,,,,,
12662011,4383513,,Desoto,,,,,,
12872726,4383513,en,De Soto,1,,,,,
13805424,4383513,unlc,USDSQ,,,,,,
15775531,4383513,wkdt,Q952961,,,,,,
2757103,4383857,post,63841,,,,,,
2997009,4383857,link,https://en.wikipedia.org/wiki/Dexter%2C_Missouri,,,,,,
13805564,4383857,unlc,USDXE,,,,,,
15881109,4383857,wkdt,Q963451,,,,,,
2997005,4383778,link,https://en.wikipedia.org/wiki/Des_Peres%2C_Missouri,,,,,,
12314370,4383778,,Hathaway City,,,,,,
12485102,4383778,,Saint Francis Xavier,,,,,,
13095807,4383778,en,Des Peres,1,,,,,
13805347,4383778,unlc,USDPR,,,,,,
2997006,4383785,link,https://en.wikipedia.org/wiki/Desloge%2C_Missouri,,,,,,
12439570,4383785,,Leadville,,,,,,
12891428,4383785,en,Desloge,1,,,,,
14944554,4383785,wkdt,Q963845,,,,,,
2757180,4385966,post,64024,,,,,,
11991267,4385018,en,"Independence, Mo",1,,,,,
12356411,4385018,,Pixley,,,,,,
12698067,4385018,,Pixleys,,,,,,
14865320,4385018,wkdt,Q49349439,,,,,,
2997056,4385494,link,https://en.wikipedia.org/wiki/Ellisville%2C_Missouri,,,,,,
13805984,4385494,unlc,USELU,,,,,,
15781434,4385494,wkdt,Q952807,,,,,,
2756798,4385835,post,63025,,,,,,
2996684,4385835,link,https://en.wikipedia.org/wiki/Eureka%2C_Missouri,,,,,,
3044454,4385835,ru,Эврика,,,,,,
11428432,4385835,ar,يوريكا,,,,,,
11428433,4385835,fa,یوریکا، میزوری,,,,,,
11428434,4385835,kk,Эурека,,,,,,
11428435,4385835,sr,Јурика,,,,,,
13806247,4385835,unlc,USEUR,,,,,,
2997079,4385966,link,https://en.wikipedia.org/wiki/Excelsior_Springs%2C_Missouri,,,,,,
9381217,4385966,ar,غكسلسيور سبرنغز,,,,,,
9381218,4385966,fa,اکسلسیور اسپرینگز، میزوری,,,,,,
9381219,4385966,kk,Экселсиор Спрингс,,,,,,
9381220,4385966,sr,Икселсир Спрингс,,,,,,
12587210,4385966,,Golf Hill,,,,,,
12869437,4385966,en,Excelsior Springs,1,,,,,
13820697,4385966,unlc,USZEO,,,,,,
2757022,4386289,post,63640,,,,,,
2997092,4386289,link,https://en.wikipedia.org/wiki/Farmington%2C_Missouri,,,,,,
3044455,4386289,ru,Фармингтон,,,,,,
7481848,4386289,iata,FAM,,,,,,
9355099,4386289,ar,فارمنغتون,,,,,,
9355100,4386289,fa,فارمینگتون، میزوری,,,,,,
9355101,4386289,kk,Фармингтон,,,,,,
9355102,4386289,sr,Фармингтон,,,,,,
11375435,4386289,ur,فارمنگٹن، مسوری,,,,,,
12356667,4386289,,Murphys Settlement,,,,,,
12835727,4386289,en,Farmington,1,,,,,
15761986,4386289,wkdt,Q968752,,,,,,
2997097,4386387,link,https://en.wikipedia.org/wiki/Ferguson%2C_Missouri,,,,,,
3044456,4386387,ru,Фергюсон,,,,,,
11348904,4386387,ar,فيرغسون,,,,,,
11348905,4386387,fa,فرگوسن، میزوری,,,,,,
11348906,4386387,ja,ファーガソン,,,,,,
11348907,4386387,kk,Фергюсон,,,,,,
11348908,4386387,ko,퍼거슨,,,,,,
11348909,4386387,sr,Фергусон,,,,,,
11348910,4386387,ta,பெர்குசன்,,,,,,
11348911,4386387,uk,Фергюсон,,,,,,
11348912,4386387,yue,費格遜市,,,,,,
11348913,4386387,zh,弗格森,,,,,,
13820763,4386387,unlc,USZGU,,,,,,
15330957,4386387,wkdt,Q954855,,,,,,
2756800,4386419,post,63028,,,,,,
2997099,4386419,link,https://en.wikipedia.org/wiki/Festus%2C_Missouri,,,,,,
11595936,4386419,ar,فيستوس,,,,,,
11595937,4386419,fa,فستوس، میزوری,,,,,,
11595938,4386419,kk,Фэстас,,,,,,
11595939,4386419,sr,Фестас,,,,,,
12356469,4386419,,Derby City,,,,,,
12615738,4386419,,Tanglefoot,,,,,,
12738765,4386419,,Limitville,,,,,,
13083900,4386419,en,Festus,1,,,,,
13806961,4386419,unlc,USFUS,,,,,,
15712629,4386419,wkdt,Q966396,,,,,,
12398632,4386685,,Taylor Town,,,,,,
12698228,4386685,,Jay Bird Town,,,,,,
13124705,4386685,en,Flat River,1,,,,,
13817747,4386685,unlc,USUJB,,,,,,
15381438,4386685,wkdt,Q49350187,,,,,,
14979542,4385966,wkdt,Q959823,,,,,,
2757182,4388402,post,64029,,,,,,
2756802,4386802,post,63031,,,,,,
2756803,4386802,post,63032,,,,,,
2756804,4386802,post,63033,,,,,,
2756805,4386802,post,63034,,,,,,
8304910,4386802,fa,فلوریسنت، میزوری,,,,,,
8304911,4386802,ar,فلوريسانت,,,,,,
8304912,4386802,kk,Флориссант,,,,,,
9334478,4386802,sr,Флорисант,,,,,,
11369762,4386802,ur,فلوریسینٹ، مسوری,,,,,,
12314387,4386802,,Florisant,,,,,,
12356669,4386802,,San Fernando,,,,,,
12356670,4386802,,Ferdinand,,,,,,
12398595,4386802,,San Fernando de Florissant,,,,,,
12398633,4386802,,Fleurissant,,,,,,
12398634,4386802,,Saint Ferdinand Florissant,,,,,,
12532323,4386802,,Saint Ferdinand de Florissant,,,,,,
12551357,4386802,,Saint Ferdinand,,,,,,
12960119,4386802,en,Florissant,1,,,,,
13806802,4386802,unlc,USFOT,,,,,,
14982546,4386802,wkdt,Q636684,,,,,,
2007431,4387496,pl,Fulton,,,,,,
2007432,4387496,de,Fulton,,,,,,
2007433,4387496,fr,Fulton,,,,,,
2007434,4387496,io,Fulton,,,,,,
2007435,4387496,ja,フルトン,,,,,,
2007436,4387496,nl,Fulton,,,,,,
2007437,4387496,no,Fulton,,,,,,
2757608,4387496,post,65251,,,,,,
2997139,4387496,link,https://en.wikipedia.org/wiki/Fulton%2C_Missouri,,,,,,
